Dealership: D & B Used Cars|111 Old Benbrook Rd|817-555-5555
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
54923|2021|Toyota|Tacoma|truck|Gray|30000|23000.00
67238|2015|Chevrolet|Silverado|truck|Silver|85000|18995.00
Dealership: Batman Used Cars|231 Gotham Alley Dr|492-420-6969
10754|2014|Honda|CR-V|SUV|Silver|78000|13995.00
Dealership: Bikini Bottom New Cars|212 Sandy Bottoms Ln|543-234-2412
10112|1993|ClownCar|Whoopee|SUV|Red|525123|995.00
44987|2012|GiggleWagon|Snicker|sedan|Gray|103221|6995.00
58923|2021|ZanyZeppelin|Chuckler|truck|Gray|30000|23000.00
67987|2015|SillinessExpress|Guffaw|truck|Silver|85000|18995.00
86419|2016|GiggleJeep|LaughMaster|SUV|Black|65000|24995.00
93586|2008|JokeToyota|Hilarity|sedan|White|125000|5995.00
10759|2014|GiggleCR-V|SillySUV|SUV|Silver|78000|13995.00
